ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
31924#36,0#entrepreneur#married#tertiary#no#0,0#yes#no#cellular#9#apr#1,0#-1,0#0#unknown#no
20566#38,0#technician#married#tertiary#no#940,0#no#no#cellular#12#aug#7,0#-1,0#0#unknown#no
24508#52,0#management#married#tertiary#no#0,0#yes#no#cellular#17#nov#2,0#-1,0#0#unknown#no
33647#48,0#admin.#single#secondary#no#-874,0#yes#no#cellular#20#apr#2,0#151,0#7#other#no
10878#38,0#blue-collar#married#primary#no#246,0#no#no#unknown#17#jun#2,0#-1,0#0#unknown#no
40320#48,0#management#married#tertiary#no#2,0#no#no#cellular#16#jun#2,0#-1,0#0#unknown#no
14267#55,0#admin.#married#primary#no#343,0#yes#no#cellular#14#jul#3,0#-1,0#0#unknown#no
18607#29,0#technician#married#tertiary#no#-983,0#yes#yes#cellular#31#jul#2,0#-1,0#0#unknown#no
40634#53,0#management#married#tertiary#no#1356,0#yes#no#cellular#5#aug#2,0#93,0#2#failure#no
740#35,0#management#single#tertiary#no#550,0#yes#no#unknown#6#may#2,0#-1,0#0#unknown#no
29648#37,0#unemployed#married#secondary#no#80,0#no#no#cellular#3#feb#2,0#-1,0#0#unknown#no
21903#34,0#management#married#tertiary#no#881,0#no#no#cellular#20#aug#2,0#-1,0#0#unknown#no
31001#32,0#management#single#tertiary#no#19985,0#no#no#cellular#9#feb#5,0#-1,0#0#unknown#no
11603#47,0#admin.#married#secondary#no#4923,0#no#no#unknown#19#jun#3,0#-1,0#0#unknown#no
28659#39,0#admin.#single#secondary#no#163,0#yes#no#cellular#30#jan#2,0#-1,0#0#unknown#no
28947#43,0#admin.#married#secondary#no#877,0#yes#no#cellular#2#feb#1,0#-1,0#0#unknown#no
28146#33,0#admin.#single#secondary#no#13,0#yes#no#cellular#29#jan#1,0#247,0#2#failure#no
1369#31,0#blue-collar#married#secondary#no#335,0#yes#no#unknown#8#may#1,0#-1,0#0#unknown#no
33909#23,0#student#single#secondary#no#0,0#no#no#cellular#30#apr#1,0#83,0#6#success#yes
39829#58,0#technician#married#tertiary#no#883,0#no#no#cellular#1#jun#2,0#-1,0#0#unknown#no
9371##unknown#married#unknown#no#2505,0#no#no#unknown#6#jun#2,0#-1,0#0#unknown#no
24826#39,0#admin.#single#tertiary#no#283,0#yes#no#cellular#18#nov#1,0#179,0#3#other#no
18406##blue-collar#married#secondary#no#4900,0#yes#no#telephone#31#jul#2,0#-1,0#0#unknown#no
25370#34,0#technician#single#tertiary#no#2047,0#yes#no#cellular#18#nov#2,0#113,0#5#failure#no
23415#34,0#management#single#tertiary#no#682,0#no#no#cellular#27#aug#3,0#-1,0#0#unknown#no
24050#31,0#entrepreneur#married#tertiary#no#79,0#yes#no#unknown#18#oct#1,0#-1,0#0#unknown#no
32667#34,0#admin.#married#secondary#no#747,0#yes#yes#cellular#17#apr#2,0#-1,0#0#unknown#no
25990#53,0#blue-collar#single#secondary#no#2430,0#yes#yes#cellular#19#nov#2,0#145,0#3#failure#no
12665#29,0#blue-collar#single#primary#no#343,0#no#no#cellular#4#jul#2,0#-1,0#0#unknown#no
8353#31,0#technician#single#secondary#no#674,0#yes#yes#unknown#3#jun#3,0#-1,0#0#unknown#no
15118##services#single#secondary#no#-189,0#no#yes#cellular#17#jul#2,0#-1,0#0#unknown#yes
17955#31,0#self-employed#married#tertiary#no#0,0#yes#no#cellular#30#jul#24,0#-1,0#0#unknown#no
27282#49,0#management#married#tertiary#yes#10,0#yes#no#cellular#21#nov#1,0#-1,0#0#unknown#no
32647#34,0#services#married#secondary#no#334,0#yes#no#cellular#17#apr#2,0#318,0#1#failure#no
8998#37,0#technician#divorced#secondary#yes#325,0#yes#yes#unknown#5#jun#1,0#-1,0#0#unknown#no
22202#31,0#technician#single#tertiary#no#26,0#no#no#cellular#21#aug#4,0#-1,0#0#unknown#no
30112#37,0#blue-collar#married#secondary#no#242,0#yes#no#cellular#4#feb#2,0#-1,0#0#unknown#no
17560#58,0#management#married#tertiary#no#1517,0#yes#no#telephone#29#jul#5,0#-1,0#0#unknown#no
42614#35,0#management#married#tertiary#no#323,0#no#no#cellular#11#jan#2,0#-1,0#0#unknown#yes
2266#33,0#management#single#tertiary#no#4128,0#yes#no#unknown#12#may#6,0#-1,0#0#unknown#no
34204#39,0#admin.#married#secondary#no#140,0#no#no#cellular#4#may#5,0#-1,0#0#unknown#no
5883#34,0#technician#divorced#secondary#no#27,0#yes#no#unknown#26#may#3,0#-1,0#0#unknown#no
15967#36,0#management#divorced#tertiary#no#81,0#no#yes#cellular#22#jul#1,0#-1,0#0#unknown#yes
43407#70,0#retired#married#tertiary#no#15834,0#no#no#cellular#5#apr#3,0#186,0#1#failure#no
27646#37,0#admin.#single#secondary#no#1097,0#yes#no#cellular#21#nov#2,0#-1,0#0#unknown#yes
36411#39,0#management#married#tertiary#no#1362,0#yes#no#cellular#11#may#2,0#-1,0#0#unknown#no
8077#38,0#blue-collar#married#primary#no#6843,0#no#no#unknown#2#jun#1,0#-1,0#0#unknown#no
18950#50,0#management#married#tertiary#no#724,0#no#no#cellular#4#aug#3,0#-1,0#0#unknown#no
41513#50,0#blue-collar#married#primary#no#3764,0#no#no#telephone#9#sep#2,0#99,0#4#failure#yes
38437#30,0#technician#married#primary#no#95,0#yes#no#cellular#15#may#2,0#298,0#1#failure#no
29633#34,0#management#married#tertiary#no#99,0#no#yes#cellular#3#feb#2,0#-1,0#0#unknown#no
28715#35,0#blue-collar#single#secondary#no#505,0#no#yes#cellular#30#jan#3,0#-1,0#0#unknown#no
25047#49,0#self-employed#married#tertiary#no#8142,0#no#no#telephone#18#nov#1,0#-1,0#0#unknown#no
18535#42,0#blue-collar#married#primary#no#704,0#yes#yes#telephone#31#jul#10,0#-1,0#0#unknown#no
45176#38,0#entrepreneur#single#secondary#no#2543,0#no#no#cellular#11#nov#3,0#93,0#5#success#yes
35460#43,0#blue-collar#married#unknown#no#175,0#no#no#cellular#7#may#1,0#-1,0#0#unknown#no
21049#31,0#management#single#tertiary#no#10112,0#yes#no#cellular#14#aug#4,0#-1,0#0#unknown#no
2976#31,0#management#married#tertiary#no#303,0#yes#no#unknown#14#may#1,0#-1,0#0#unknown#no
36608#36,0#management#single#tertiary#no#687,0#yes#no#cellular#12#may#1,0#347,0#2#failure#no
10490#40,0#services#married#secondary#no#2346,0#no#no#unknown#16#jun#3,0#-1,0#0#unknown#no
3904#56,0#retired#divorced#secondary#no#4166,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
18138##technician#single#secondary#no#34,0#no#no#telephone#30#jul#1,0#-1,0#0#unknown#no
6316##services#married#secondary#no#684,0#yes#no#unknown#27#may#1,0#-1,0#0#unknown#no
24291#49,0#entrepreneur#married#secondary#no#2655,0#no#no#cellular#17#nov#1,0#-1,0#0#unknown#no
27417#32,0#admin.#single#tertiary#no#3816,0#yes#no#cellular#21#nov#3,0#-1,0#0#unknown#no
38185#32,0#management#married#tertiary#no#1297,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
44224#32,0#services#married#primary#no#164,0#yes#no#unknown#17#jul#1,0#-1,0#0#unknown#no
42777#29,0#management#single#tertiary#no#187,0#yes#no#cellular#28#jan#2,0#555,0#2#failure#no
7604#55,0#blue-collar#married#primary#no#828,0#yes#no#unknown#30#may#1,0#-1,0#0#unknown#no
31811#39,0#technician#single#secondary#no#1048,0#yes#yes#cellular#8#apr#2,0#-1,0#0#unknown#no
7105#43,0#blue-collar#married#secondary#no#0,0#yes#yes#unknown#29#may#1,0#-1,0#0#unknown#no
36145#35,0#services#married#secondary#no#240,0#yes#yes#cellular#11#may#2,0#-1,0#0#unknown#no
22235#56,0#admin.#married#secondary#no#1694,0#no#no#cellular#21#aug#10,0#-1,0#0#unknown#yes
17857#25,0#technician#single#secondary#no#35,0#yes#no#cellular#30#jul#29,0#-1,0#0#unknown#no
33271#34,0#blue-collar#single#secondary#no#13683,0#yes#no#cellular#20#apr#3,0#321,0#3#failure#no
25028#33,0#services#married#secondary#no#1330,0#yes#no#cellular#18#nov#1,0#-1,0#0#unknown#no
14145#50,0#management#married#tertiary#no#383,0#no#yes#cellular#11#jul#2,0#-1,0#0#unknown#no
9365#36,0#blue-collar#single#secondary#no#1012,0#yes#yes#unknown#6#jun#1,0#-1,0#0#unknown#no
26495#30,0#management#single#tertiary#no#4091,0#no#no#cellular#20#nov#2,0#-1,0#0#unknown#no
36430#44,0#blue-collar#single#secondary#no#184,0#yes#no#cellular#11#may#2,0#-1,0#0#unknown#no
21519#45,0#self-employed#married#secondary#no#571,0#yes#no#cellular#19#aug#5,0#-1,0#0#unknown#no
28099#51,0#admin.#single#tertiary#no#394,0#no#no#telephone#28#jan#2,0#-1,0#0#unknown#yes
15820#42,0#management#divorced#tertiary#no#9,0#yes#no#cellular#21#jul#1,0#-1,0#0#unknown#no
5954#43,0#management#married#tertiary#no#-69,0#yes#no#unknown#26#may#2,0#-1,0#0#unknown#no
42928#32,0#technician#married#tertiary#no#2976,0#yes#no#cellular#5#feb#1,0#175,0#5#failure#yes
5072#32,0#management#single#tertiary#no#1373,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#no
6149#31,0#blue-collar#married#secondary#no#557,0#yes#yes#unknown#27#may#1,0#-1,0#0#unknown#no
35313#51,0#entrepreneur#married#tertiary#no#228,0#yes#no#cellular#7#may#1,0#-1,0#0#unknown#no
17976#45,0#blue-collar#single#unknown#no#713,0#no#no#cellular#30#jul#2,0#-1,0#0#unknown#no
20814#55,0#services#married#secondary#no#-31,0#no#yes#cellular#13#aug#2,0#-1,0#0#unknown#no
30969#34,0#housemaid#married#tertiary#no#677,0#no#no#cellular#9#feb#2,0#-1,0#0#unknown#no
5605##entrepreneur#married#tertiary#no#1605,0#yes#no#unknown#23#may#2,0#-1,0#0#unknown#no
13564#48,0#admin.#married#secondary#no#113,0#yes#yes#cellular#9#jul#1,0#-1,0#0#unknown#no
10654#59,0#retired#married#primary#no#1085,0#no#no#unknown#16#jun#1,0#-1,0#0#unknown#no
3792##admin.#divorced#secondary#no#174,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
16188#25,0#admin.#married#unknown#no#349,0#yes#no#cellular#22#jul#8,0#-1,0#0#unknown#yes
36653#43,0#blue-collar#married#secondary#no#1495,0#yes#no#cellular#12#may#1,0#-1,0#0#unknown#no
42160#42,0#management#married#tertiary#no#603,0#yes#no#cellular#5#nov#5,0#-1,0#0#unknown#no
33319#28,0#blue-collar#single#tertiary#no#1984,0#yes#no#cellular#20#apr#1,0#-1,0#0#unknown#no
31863#33,0#blue-collar#married#primary#no#331,0#yes#no#cellular#9#apr#2,0#314,0#3#failure#no
522#42,0#management#married#tertiary#no#744,0#no#no#unknown#6#may#1,0#-1,0#0#unknown#no
13270#45,0#technician#married#secondary#no#1477,0#yes#no#cellular#8#jul#1,0#-1,0#0#unknown#no
33333#20,0#student#single#unknown#no#330,0#no#no#cellular#20#apr#2,0#-1,0#0#unknown#no
31932#40,0#blue-collar#married#secondary#no#1554,0#yes#no#cellular#9#apr#2,0#331,0#1#failure#no
33834#54,0#admin.#married#secondary#no#276,0#yes#yes#cellular#27#apr#1,0#-1,0#0#unknown#no
32810#31,0#services#married#secondary#no#371,0#yes#yes#cellular#17#apr#1,0#-1,0#0#unknown#no
41809##housemaid#married#tertiary#no#93,0#no#no#cellular#14#oct#2,0#-1,0#0#unknown#no
19602#45,0#blue-collar#married#secondary#no#1583,0#yes#no#cellular#7#aug#7,0#-1,0#0#unknown#no
3040#57,0#technician#married#secondary#no#629,0#yes#no#unknown#14#may#2,0#-1,0#0#unknown#no
22546#47,0#housemaid#married#secondary#no#443,0#no#no#cellular#22#aug#3,0#-1,0#0#unknown#no
9074#47,0#technician#married#secondary#no#89,0#no#no#unknown#5#jun#1,0#-1,0#0#unknown#no
15944#51,0#technician#divorced#secondary#yes#-113,0#no#yes#cellular#22#jul#4,0#-1,0#0#unknown#no
25012#56,0#management#married#tertiary#no#15520,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
1067#44,0#entrepreneur#married#primary#no#58,0#yes#no#unknown#7#may#3,0#-1,0#0#unknown#no
44915#43,0#blue-collar#married#secondary#no#625,0#yes#no#unknown#30#sep#1,0#-1,0#0#unknown#no
39664#37,0#admin.#married#secondary#no#1967,0#no#no#cellular#27#may#1,0#212,0#1#success#yes
28334#31,0#blue-collar#married#primary#no#242,0#no#no#cellular#29#jan#1,0#-1,0#0#unknown#no
10937#40,0#self-employed#married#tertiary#no#1603,0#no#no#unknown#17#jun#1,0#-1,0#0#unknown#no
2198#24,0#blue-collar#married#secondary#no#237,0#yes#no#unknown#12#may#2,0#-1,0#0#unknown#no
4692#27,0#blue-collar#single#unknown#no#89,0#yes#no#unknown#20#may#5,0#-1,0#0#unknown#no
15145#34,0#management#married#tertiary#no#11,0#yes#no#cellular#17#jul#1,0#-1,0#0#unknown#no
43565#30,0#admin.#single#secondary#no#915,0#yes#no#unknown#27#apr#1,0#-1,0#0#unknown#yes
3200##admin.#single#secondary#no#2040,0#yes#no#unknown#15#may#1,0#-1,0#0#unknown#no
22848#41,0#management#divorced#tertiary#no#1064,0#no#no#cellular#25#aug#4,0#-1,0#0#unknown#no
15624#44,0#management#divorced#tertiary#no#-90,0#yes#no#cellular#21#jul#1,0#-1,0#0#unknown#no
3841#24,0#blue-collar#married#primary#no#656,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#yes
8882#49,0#blue-collar#married#primary#no#391,0#yes#no#unknown#4#jun#1,0#-1,0#0#unknown#no
9172#58,0#blue-collar#married#secondary#no#0,0#no#no#unknown#5#jun#2,0#-1,0#0#unknown#no
42298##management#married#tertiary#no#2987,0#yes#no#telephone#16#nov#8,0#96,0#1#success#no
8023#31,0#blue-collar#married#secondary#no#191,0#yes#no#unknown#2#jun#1,0#-1,0#0#unknown#no
33443#38,0#entrepreneur#married#secondary#no#0,0#yes#yes#cellular#20#apr#2,0#154,0#1#failure#no
10780#39,0#admin.#single#tertiary#no#2600,0#yes#no#unknown#17#jun#1,0#-1,0#0#unknown#no
10074#49,0#blue-collar#married#primary#no#238,0#no#no#unknown#11#jun#1,0#-1,0#0#unknown#no
77#44,0#blue-collar#married#secondary#no#582,0#no#yes#unknown#5#may#1,0#-1,0#0#unknown#no
24374#57,0#housemaid#married#tertiary#no#3760,0#no#no#cellular#17#nov#1,0#-1,0#0#unknown#no
15636#30,0#blue-collar#married#secondary#no#658,0#yes#yes#cellular#21#jul#1,0#-1,0#0#unknown#no
16604#44,0#technician#married#secondary#no#0,0#yes#no#cellular#24#jul#1,0#-1,0#0#unknown#no
43027#21,0#student#single#secondary#no#123,0#no#no#telephone#12#feb#5,0#93,0#2#success#yes
25906#36,0#self-employed#married#tertiary#no#16430,0#yes#no#cellular#19#nov#1,0#166,0#3#failure#no
9868#37,0#blue-collar#married#primary#no#1021,0#no#no#unknown#9#jun#1,0#-1,0#0#unknown#no
5364#32,0#management#single#tertiary#no#151,0#no#no#unknown#23#may#2,0#-1,0#0#unknown#no
39683#37,0#admin.#married#secondary#no#7,0#yes#no#cellular#27#may#7,0#105,0#1#other#no
38434#32,0#blue-collar#married#primary#no#2198,0#no#no#cellular#15#may#1,0#175,0#4#failure#no
35891##housemaid#married#secondary#no#4,0#yes#no#cellular#8#may#2,0#-1,0#0#unknown#no
30123#47,0#blue-collar#married#primary#no#556,0#yes#no#cellular#4#feb#2,0#264,0#4#other#no
8504#59,0#management#married#tertiary#no#202,0#yes#no#unknown#3#jun#6,0#-1,0#0#unknown#no
21894#34,0#technician#married#secondary#no#1194,0#no#yes#cellular#20#aug#2,0#-1,0#0#unknown#no
28042#45,0#management#married#secondary#no#672,0#yes#no#telephone#28#jan#3,0#187,0#1#other#no
5448#29,0#blue-collar#single#secondary#no#1012,0#yes#no#unknown#23#may#1,0#-1,0#0#unknown#no
24218#52,0#management#married#primary#no#0,0#yes#yes#cellular#17#nov#1,0#-1,0#0#unknown#no
15144#27,0#admin.#single#unknown#no#5,0#yes#no#cellular#17#jul#2,0#-1,0#0#unknown#no
30833#46,0#self-employed#married#tertiary#no#291,0#no#no#cellular#9#feb#4,0#-1,0#0#unknown#no
36290#52,0#services#married#secondary#no#540,0#yes#no#cellular#11#may#2,0#340,0#2#failure#no
27405#30,0#admin.#single#secondary#no#105,0#yes#no#cellular#21#nov#1,0#-1,0#0#unknown#no
1667#33,0#technician#married#secondary#no#0,0#no#no#unknown#9#may#1,0#-1,0#0#unknown#no
9626#45,0#blue-collar#married#secondary#no#22928,0#no#no#unknown#6#jun#1,0#-1,0#0#unknown#no
15409##management#single#secondary#no#-85,0#yes#no#cellular#18#jul#1,0#-1,0#0#unknown#no
1082#54,0#technician#single#secondary#no#99,0#yes#no#unknown#7#may#3,0#-1,0#0#unknown#no
44831#144,0#retired#married#primary#no#1154,0#no#no#telephone#32#sep#1,0#-1,0#0#unknown#yes
41193#28,0#student#single#secondary#no#1925,0#no#no#cellular#20#aug#1,0#90,0#1#failure#no
21920#36,0#technician#married#secondary#no#3,0#no#no#cellular#20#aug#4,0#-1,0#0#unknown#no
35021#38,0#management#married#tertiary#no#-1884,0#yes#no#cellular#6#may#2,0#289,0#1#failure#no
17954##blue-collar#married#secondary#no#0,0#yes#yes#telephone#30#jul#20,0#-1,0#0#unknown#no
13699##technician#married#secondary#no#2030,0#yes#yes#cellular#9#jul#1,0#-1,0#0#unknown#no
18883#30,0#technician#single#tertiary#no#97,0#no#no#cellular#4#aug#1,0#-1,0#0#unknown#no
39978#36,0#unemployed#married#tertiary#no#7222,0#yes#no#cellular#3#jun#1,0#-1,0#0#unknown#no
23817#47,0#technician#divorced#tertiary#no#8,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
30529#59,0#self-employed#single#primary#no#0,0#yes#no#telephone#5#feb#2,0#-1,0#0#unknown#no
12216#28,0#blue-collar#single#secondary#no#-267,0#yes#no#unknown#20#jun#4,0#-1,0#0#unknown#no
11919#29,0#admin.#single#secondary#no#-498,0#yes#no#unknown#20#jun#14,0#-1,0#0#unknown#no
11860#40,0#blue-collar#married#secondary#no#188,0#yes#yes#unknown#20#jun#2,0#-1,0#0#unknown#yes
33413#34,0#management#divorced#tertiary#no#471,0#no#no#cellular#20#apr#1,0#332,0#4#failure#no
17134#41,0#blue-collar#married#secondary#no#1915,0#yes#no#cellular#25#jul#4,0#-1,0#0#unknown#no
8433#46,0#blue-collar#married#primary#no#596,0#yes#no#unknown#3#jun#13,0#-1,0#0#unknown#no
37404#31,0#blue-collar#single#secondary#no#2194,0#no#no#cellular#13#may#2,0#357,0#1#other#no
7985#55,0#technician#single#secondary#no#3339,0#yes#no#unknown#2#jun#1,0#-1,0#0#unknown#no
27744#27,0#services#single#secondary#no#-232,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
1013#39,0#admin.#single#secondary#no#573,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
40696#30,0#technician#married#secondary#no#776,0#no#no#cellular#7#aug#1,0#99,0#2#success#no
8677##services#divorced#secondary#no#-574,0#yes#no#unknown#3#jun#2,0#-1,0#0#unknown#no
23368#32,0#technician#single#secondary#no#5118,0#yes#no#cellular#27#aug#12,0#-1,0#0#unknown#no
29755#54,0#admin.#single#secondary#no#15,0#yes#no#cellular#4#feb#1,0#-1,0#0#unknown#no
44925#35,0#blue-collar#married#secondary#no#137,0#no#yes#unknown#4#oct#1,0#808,0#12#failure#no
591#36,0#technician#single#secondary#no#-15,0#yes#no#unknown#6#may#3,0#-1,0#0#unknown#no
38010##blue-collar#married#primary#no#309,0#yes#no#cellular#14#may#2,0#367,0#4#failure#no
44507#34,0#technician#single#secondary#no#2085,0#no#no#cellular#10#aug#3,0#182,0#2#success#yes
40908##retired#married#primary#no#324,0#no#no#cellular#12#aug#1,0#189,0#4#success#no
31634#38,0#technician#single#secondary#no#12926,0#yes#no#cellular#6#apr#2,0#307,0#1#failure#no
11822##technician#married#secondary#no#302,0#yes#no#unknown#20#jun#3,0#-1,0#0#unknown#no
39607#57,0#self-employed#married#tertiary#no#350,0#no#no#cellular#26#may#6,0#112,0#3#failure#no
37367#35,0#blue-collar#married#secondary#no#0,0#yes#yes#cellular#13#may#8,0#293,0#1#failure#no
7483#53,0#blue-collar#married#secondary#no#1852,0#yes#no#unknown#29#may#4,0#-1,0#0#unknown#no
22262#52,0#management#married#tertiary#no#291,0#no#no#cellular#21#aug#3,0#-1,0#0#unknown#no
42960#27,0#management#single#tertiary#no#390,0#no#no#cellular#9#feb#2,0#104,0#2#failure#yes
41268#45,0#unknown#married#tertiary#no#8564,0#no#no#cellular#25#aug#1,0#-1,0#0#unknown#no
2208#48,0#blue-collar#single#primary#no#396,0#yes#no#unknown#12#may#3,0#-1,0#0#unknown#no
41754#83,0#retired#married#unknown#no#4216,0#no#no#cellular#12#oct#1,0#-1,0#0#unknown#no
39488#24,0#blue-collar#single#secondary#no#167,0#no#yes#cellular#25#may#1,0#96,0#2#success#yes
1861#37,0#technician#married#tertiary#no#447,0#yes#no#unknown#9#may#1,0#-1,0#0#unknown#no
24875#59,0#entrepreneur#married#primary#no#222,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
27801##admin.#single#secondary#no#254,0#yes#no#cellular#28#jan#1,0#-1,0#0#unknown#no
18495#41,0#management#married#secondary#no#0,0#no#no#cellular#31#jul#2,0#-1,0#0#unknown#no
29499##unemployed#single#tertiary#no#507,0#no#no#cellular#3#feb#1,0#-1,0#0#unknown#no
30372#49,0#blue-collar#married#primary#no#217,0#yes#no#cellular#5#feb#2,0#196,0#4#other#no
14421#39,0#services#married#secondary#no#1068,0#yes#no#cellular#14#jul#3,0#-1,0#0#unknown#no
3743#30,0#admin.#married#secondary#no#67,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
22408#30,0#management#married#secondary#no#0,0#no#no#cellular#22#aug#2,0#-1,0#0#unknown#no
11717#50,0#technician#divorced#tertiary#no#261,0#no#no#unknown#20#jun#1,0#-1,0#0#unknown#no
30459#40,0#blue-collar#married#primary#no#665,0#yes#no#cellular#5#feb#3,0#211,0#1#success#no
35972#50,0#services#divorced#secondary#no#81,0#no#no#cellular#8#may#2,0#-1,0#0#unknown#no
28437#53,0#admin.#single#secondary#no#393,0#no#no#cellular#29#jan#1,0#-1,0#0#unknown#no
34166#32,0#technician#single#tertiary#no#1246,0#yes#no#cellular#30#apr#1,0#85,0#2#success#yes
33342#29,0#blue-collar#married#secondary#no#2378,0#yes#yes#cellular#20#apr#1,0#276,0#6#failure#no
39990#51,0#management#single#tertiary#no#102127,0#no#no#cellular#3#jun#1,0#-1,0#0#unknown#no
32763#31,0#technician#married#tertiary#no#1990,0#yes#yes#cellular#17#apr#2,0#339,0#1#other#no
9606#47,0#unknown#married#unknown#no#0,0#no#no#unknown#6#jun#2,0#-1,0#0#unknown#no
14343#54,0#management#married#secondary#no#1987,0#no#no#cellular#14#jul#3,0#-1,0#0#unknown#no
35875#46,0#admin.#divorced#secondary#no#-637,0#yes#no#cellular#8#may#1,0#172,0#1#failure#no
15761#35,0#management#married#tertiary#no#0,0#yes#no#cellular#21#jul#3,0#-1,0#0#unknown#no
6662####secondary#no###no#unknown#28#may###0#unknown#no
32208#32,0#self-employed#single#secondary#no#202,0#yes#no#cellular#16#apr#1,0#149,0#1#failure#no
20458#33,0#technician#single#secondary#no#827,0#yes#no#cellular#12#aug#4,0#-1,0#0#unknown#no
35433#23,0#technician#single#unknown#no#231,0#yes#no#cellular#7#may#3,0#367,0#1#other#no
42002#80,0#retired#married#secondary#no#87,0#no#no#telephone#27#oct#2,0#-1,0#0#unknown#no
30077#55,0#unemployed#married#secondary#no#1436,0#yes#no#cellular#4#feb#2,0#-1,0#0#unknown#no
4631#43,0#blue-collar#married#primary#yes#-635,0#yes#no#unknown#20#may#9,0#-1,0#0#unknown#no
36391#55,0#management#married#tertiary#no#42,0#yes#no#telephone#11#may#2,0#-1,0#0#unknown#no
31883#39,0#technician#married#secondary#no#958,0#yes#no#cellular#9#apr#5,0#142,0#4#failure#no
19404#53,0#technician#married#secondary#no#1225,0#no#no#cellular#6#aug#2,0#-1,0#0#unknown#no
10535#50,0#management#married#primary#no#0,0#no#no#unknown#16#jun#4,0#-1,0#0#unknown#no
15631#37,0#technician#divorced#secondary#no#79,0#no#no#cellular#21#jul#1,0#-1,0#0#unknown#no
34465#30,0#blue-collar#single#secondary#no#80,0#yes#yes#cellular#5#may#1,0#337,0#4#failure#no
31025#44,0#technician#married#secondary#no#2981,0#yes#yes#cellular#10#feb#2,0#-1,0#0#unknown#no
10443#48,0#management#divorced#tertiary#no#503,0#no#yes#unknown#12#jun#7,0#-1,0#0#unknown#yes
35876#33,0#admin.#divorced#tertiary#no#891,0#no#no#cellular#8#may#2,0#-1,0#0#unknown#yes
42697##retired#married#secondary#no#588,0#no#no#cellular#18#jan#1,0#91,0#2#failure#yes
24556#43,0#admin.#married#secondary#no#2576,0#yes#no#cellular#17#nov#2,0#-1,0#0#unknown#no
15892#38,0#services#married#secondary#yes#-433,0#yes#no#cellular#21#jul#2,0#-1,0#0#unknown#no
32310#35,0#blue-collar#single#secondary#no#0,0#yes#no#cellular#16#apr#1,0#345,0#4#other#yes
20504#54,0#admin.#married#secondary#no#19213,0#no#no#cellular#12#aug#6,0#-1,0#0#unknown#no
33053#49,0#technician#married#unknown#no#1359,0#no#no#cellular#17#apr#3,0#-1,0#0#unknown#no
24225#45,0#management#married#tertiary#no#1323,0#yes#no#cellular#17#nov#1,0#-1,0#0#unknown#no
16858#34,0#management#married#tertiary#no#775,0#yes#no#cellular#25#jul#2,0#-1,0#0#unknown#no
2507#35,0#admin.#single#secondary#no#414,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
43477#35,0#self-employed#married#tertiary#no#1178,0#yes#yes#cellular#15#apr#2,0#183,0#5#failure#no
17780#49,0#management#married#secondary#no#633,0#no#yes#cellular#29#jul#6,0#-1,0#0#unknown#no
39525#27,0#student#single#secondary#no#253,0#no#no#cellular#25#may#2,0#-1,0#0#unknown#yes
21768#37,0#technician#single#tertiary#no#1661,0#no#no#cellular#19#aug#5,0#-1,0#0#unknown#no
42721#30,0#technician#single#secondary#no#323,0#no#no#cellular#25#jan#1,0#151,0#3#failure#no
30794#30,0#blue-collar#single#secondary#no#522,0#no#no#cellular#6#feb#3,0#-1,0#0#unknown#no
12227#39,0#technician#single#secondary#no#10236,0#no#no#unknown#20#jun#3,0#-1,0#0#unknown#no
7136#55,0#management#married#tertiary#no#0,0#no#no#unknown#29#may#2,0#-1,0#0#unknown#no
41275#34,0#admin.#single#secondary#no#745,0#yes#yes#cellular#25#aug#1,0#-1,0#0#unknown#no
16782##management#married#tertiary#no#7,0#yes#no#telephone#24#jul#1,0#-1,0#0#unknown#no
20835#30,0#technician#single#tertiary#no#0,0#yes#no#cellular#13#aug#4,0#-1,0#0#unknown#no
15813#33,0#technician#married#tertiary#no#2690,0#yes#no#cellular#21#jul#5,0#-1,0#0#unknown#no
27998#53,0#management#married#tertiary#no#0,0#no#no#cellular#28#jan#2,0#-1,0#0#unknown#no
32406#38,0#technician#married#secondary#no#183,0#yes#no#cellular#16#apr#3,0#339,0#2#failure#no
10564#38,0#technician#married#tertiary#no#606,0#no#no#unknown#16#jun#2,0#-1,0#0#unknown#no
40641#43,0#management#married#tertiary#no#1791,0#no#no#cellular#5#aug#1,0#-1,0#0#unknown#yes
9761#51,0#self-employed#married#tertiary#no#150,0#no#no#unknown#9#jun#1,0#-1,0#0#unknown#no
16446#56,0#services#married#secondary#no#-229,0#no#yes#cellular#23#jul#10,0#-1,0#0#unknown#no
